84, 1.414497297, 62.070769996
85, 1.169461959, 58.765752156
86, 7.426371136, 419.965362579
87, 2.219557362, 417.405816827
96, 2.016725189, 355.303248063
97, 2.236340953, 367.075979007
98, 1.816280913, 325.584861436
99, 1.856633088, 326.378482573
100, 1.731353834, 344.365271122
101, 1.89682735, 390.692959552
102, 2.865809571, 490.225732827
103, 2.437297871, 456.081752126
112, 2.177932961, 368.077244683
113, 1.982374966, 366.297221712
114, 2.03656486, 331.806512418
115, 1.860560557, 329.452913619
116, 1.644514551, 354.640685229
117, 1.895638629, 1598.743337885
118, 2.983923891, 496.875213231
119, 2.420241523, 519.642568355
120, 2.202869406, 518.642566972
121, 8.236251122, 10696.072335833
122, 7.104378376, 53589.016099871
123, 11.308471972, 86181.035308597
124, 10.20980702, 7491.327940453
125, 8.778450262, 3765.069762208
126, 7.741193731, 9155.956726543
153, 1.915525483, 74.249381618
154, 1.209563909, 71.442215839
156, 1.380873339, 61.682466546
157, 1.097951459, 63.992417638
159, 1.203640405, 59.571981608
160, 1.079143246, 58.770630673
162, 1.096938658, 63.023403499
163, 1.273054378, 59.186808316
165, 1.057617563, 68.699450104
166, 0.963327059, 67.557140405
168, 1.003753851, 65.753989997
169, 0.946956428, 67.738855449
171, 3.880724312, 302.640002774
172, 2.180023329, 254.684201699
173, 1.882559792, 258.246021281
174, 2.157296622, 261.204865897
175, 2.426117072, 264.985746873
176, 2.125035678, 273.641874717
177, 2.165931539, 266.230352091
178, 2.347001613, 265.805440685
183, 4.98467144, 2564.725552665
184, 5.002934711, 14448.766290462
185, 4.081157213, 32492.050612869
186, 4.075376741, 37355.383499393
187, 4.910561056, 60626.828704821
188, 5.351911251, 949.282021545
189, 5.744953713, 870.561632637
190, 4.410535536, 822.625006777
191, 4.464931687, 831.603685179
192, 5.208486629, 847.943317819
193, 6.538843677, 847.49860832
194, 4.078730045, 822.896035368
195, 3.544712908, 851.871594119
196, 6.284735129, 1163.983927921
197, 4.582183485, 866.979914258
198, 4.090836558, 2720.873043089
199, 4.76734244, 6362.620211724
200, 4.454382702, 9130.362218081
201, 16.495213111, 27698.968427809
202, 4.888261316, 14770.991368351
203, 4.301464275, 981.368994426
204, 4.667154397, 7950.420163503
205, 4.084300072, 4536.330259849
206, 4.778722013, 902.855512827
207, 3.826158093, 902.544960952
208, 5.550457571, 904.891500123
209, 4.501093932, 2712.622311015
210, 3.82873756, 2795.831170757
211, 4.357555106, 3071.08892186
212, 7.055459979, 3525.942451182
213, 6.861532813, 1017.420315811
214, 5.567564017, 979.838266573
215, 4.883846637, 944.075224761
216, 4.62263167, 900.402099477
217, 4.477256884, 894.422164248
218, 3.884071467, 873.51374472
219, 3.671420276, 877.961118091
220, 4.332756503, 15176.877495892
221, 4.393003108, 1012.318384871
222, 5.339114442, 4574.349685566
231, 10.565482869, 117049.022935214
232, 18.234984986, 8370.952895938
233, 8.995953895, 7478.873202689
